source_system,source_code,target_system,target_code,mapping_type,confidence,source_display,target_display,src_lang,translated_text,backtranslation_similarity
NAMASTE-Siddha,BGB1.3,ICD-11 MMS 2024-01 Biomedicine,XA5DY0,related-to,86.62,Kallīral Kaṭṭi,Liver,hin_Deva,Kalliral Kaṭṭi. abcess in the liver,100.0
NAMASTE-Siddha,BGB1.4,ICD-11 MMS 2024-01 Biomedicine,XA7FU9,related-to,83.87,Maṇṇīral Kaṭṭi,Spleen,hin_Deva,Maṇīral Kaṭṭi. abcess in the spleen,98.71
NAMASTE-Siddha,BGB1.5,ICD-11 MMS 2024-01 Biomedicine,XA1XJ5,related-to,85.28,Pakka Vilākkaṭṭi,Thoracic cavity,hin_Deva,Pakka Vilkkaṭṭi. abcess in the thoracic cavity,97.79
NAMASTE-Siddha,BGB1.7,ICD-11 MMS 2024-01 Biomedicine,XA7MC7,related-to,83.36,Iraippaikkaṭṭi,Stomach,hin_Deva,Iraippaikkatti. abcess in the stomach,100.0
NAMASTE-Siddha,BGB1.8,ICD-11 MMS 2024-01 Biomedicine,XA0GN7,related-to,85.33,Toṭai Iṭukku Kaṭṭi,Inguinal region,hin_Deva,Toṭai Iṭukku Kāṭṭi. abcess in the Inguinal Region,100.0
NAMASTE-Siddha,BGB1.9,ICD-11 MMS 2024-01 Biomedicine,XA8MT4,related-to,83.47,Aṇṭakkaṭṭi,Scrotum,hin_Deva,Aṇṭakṭṭi. abcess in the scrotum,96.9
NAMASTE-Siddha,BHB1.1,ICD-11 MMS 2024-01 Biomedicine,XA17J1,related-to,86.17,Akkuḷ Koppuḷam,Axilla,hin_Deva,Akku Koppu Boils in the axilla,92.93
NAMASTE-Siddha,BHB1.2,ICD-11 MMS 2024-01 Biomedicine,XM9Y41,related-to,88.3,Ammai Koppuḷam,Chicken,hin_Deva,Ammai Koppuam.Chicken pox blisters,97.79
NAMASTE-Siddha,BI,ICD-11 MMS 2024-01 Biomedicine,XA0364,related-to,88.65,Kuṭṭam,Skin,hin_Deva,Kuṭṭam.Skin lesion,100.0
NAMASTE-Siddha,BL,ICD-11 MMS 2024-01 Biomedicine,XA8T72,related-to,88.12,Mayir Utiral,Hair,hin_Deva,Mayir Utral. hair loss,97.39
NAMASTE-Siddha,BLA1.1,ICD-11 MMS 2024-01 Biomedicine,XA8T72,related-to,88.12,Mayir Utiral,Hair,hin_Deva,Mayir Utral. hair loss,97.39
NAMASTE-Siddha,BM,ICD-11 MMS 2024-01 Biomedicine,ED80,related-to,84.31,Mukapparu,Acne,hin_Deva,Mukapparu.Acne,100.0
NAMASTE-Siddha,BMB1.1,ICD-11 MMS 2024-01 Biomedicine,ED80,related-to,84.31,Mukapparu,Acne,hin_Deva,Mukapparu.Acne,100.0
NAMASTE-Siddha,BN,ICD-11 MMS 2024-01 Biomedicine,XA8T72,related-to,86.28,Narai,Hair,hin_Deva,Narai. grey hair,100.0
NAMASTE-Siddha,BNC1.1,ICD-11 MMS 2024-01 Biomedicine,XA8T72,related-to,86.28,Narai,Hair,hin_Deva,Narai. grey hair,100.0
NAMASTE-Siddha,BO,ICD-11 MMS 2024-01 Biomedicine,1E76,related-to,75.09,Pāl Uṉṉi,Anogenital molluscum contagiosum,hin_Deva,Pāl U u i. molluscum,87.18
NAMASTE-Siddha,BOA1.1,ICD-11 MMS 2024-01 Biomedicine,1E76,related-to,75.09,Pāl Uṉṉi,Anogenital molluscum contagiosum,hin_Deva,Pāl U u i. molluscum,87.18
NAMASTE-Siddha,BRA1.1,ICD-11 MMS 2024-01 Biomedicine,1G00,equivalent,96.08,Pēṉkaḷ,Pediculosis,hin_Deva,Pēka | Pediculosis,93.37
NAMASTE-Siddha,BS,ICD-11 MMS 2024-01 Biomedicine,XA0364,related-to,86.71,Perunōy,Skin,hin_Deva,Perunōy. Skin eruptions,100.0
NAMASTE-Siddha,BU,ICD-11 MMS 2024-01 Biomedicine,14,related-to,77.11,Itara Nōykaḷ,Diseases of the skin,hin_Deva,Itara Nōyaka.Miscellaneous skin diseases,95.61
NAMASTE-Siddha,BUA,ICD-11 MMS 2024-01 Biomedicine,14,related-to,77.95,Vaḷi,Diseases of the skin,hin_Deva,Miscellaneous skin diseases classified under Vali,93.03
NAMASTE-Siddha,BUA1.3,ICD-11 MMS 2024-01 Biomedicine,XA0364,related-to,85.99,Tōḷ Vaṟaṭci,Skin,hin_Deva,Tō ́ Va ́ aṭci | Drainess of skin,82.26
NAMASTE-Siddha,BUA1.4,ICD-11 MMS 2024-01 Biomedicine,VV70,related-to,76.15,Tōḷtaṭippu,Functions of the skin,hin_Deva,Tō ́ tataṭippu. Thickness of the skin,91.39
NAMASTE-Siddha,BUB,ICD-11 MMS 2024-01 Biomedicine,14,related-to,77.9,Azhal,Diseases of the skin,hin_Deva,Azhal.Miscellaneous skin diseases classified under azhal,98.01
NAMASTE-Siddha,BUB1.1,ICD-11 MMS 2024-01 Biomedicine,9A22,related-to,78.83,Tāpitam,Orbital inflammation,hin_Deva,Tāpitam.Inflammation,100.0
NAMASTE-Siddha,BUB1.2,ICD-11 MMS 2024-01 Biomedicine,1F2D.0,related-to,93.86,Tēmal,Tinea versicolor,hin_Deva,Tēmal.Tinea versicolor,100.0
NAMASTE-Siddha,BUB1.7,ICD-11 MMS 2024-01 Biomedicine,XA20Q1,related-to,82.75,Vaẕukkai,Head,hin_Deva,Vaukhilmukkai.Bald head,83.09
NAMASTE-Siddha,BV,ICD-11 MMS 2024-01 Biomedicine,9A74,related-to,79.91,Cilaippuṇ,"Neurotrophic keratitis, metaherpetic ulcer",hin_Deva,Cilaippu.Neurotrophic ulcer,98.25
NAMASTE-Siddha,BW,ICD-11 MMS 2024-01 Biomedicine,DA63,related-to,75.26,Puṇkaḷ,Anastomotic ulcer,hin_Deva,Puñca.Ulcer,87.9
NAMASTE-Siddha,BWB1.2,ICD-11 MMS 2024-01 Biomedicine,ND12.6,related-to,77.79,Puṇ,Open wound of toe,hin_Deva,Pu. Wound,94.7
NAMASTE-Siddha,CA,ICD-11 MMS 2024-01 Biomedicine,1C1G.13,related-to,76.46,Kīḷ Vāyu,Lyme arthritis,hin_Deva,Kī Vāyu.Arthritis,97.42
NAMASTE-Siddha,CAA1.3,ICD-11 MMS 2024-01 Biomedicine,FA20,related-to,86.1,Vaḷi Aẕal Kīḷ Vāyu,Rheumatoid arthritis,hin_Deva,Vai A chittabal Kī Vayu.Rheumatoid arthritis,85.94
NAMASTE-Siddha,CAB1.1,ICD-11 MMS 2024-01 Biomedicine,FA00,related-to,78.12,Aẕal Kīḷ Vāyu,Osteoarthritis of hip,hin_Deva,A chidmal Kī Vāyu. osteoarthritis,85.01
NAMASTE-Siddha,CAB1.2,ICD-11 MMS 2024-01 Biomedicine,1C1G.13,related-to,77.96,Aẕal Vaḷi Kīḷ Vāyu,Lyme arthritis,hin_Deva,A chidmal Va i K i V yu Arthritis with dysentery,82.76
NAMASTE-Siddha,D,ICD-11 MMS 2024-01 Biomedicine,8A05,related-to,78.32,Cuvācanōykaḷ,Tic disorders,hin_Deva,Cuvacanyka. respiratory disorders,93.51
NAMASTE-Siddha,DA,ICD-11 MMS 2024-01 Biomedicine,CA23,related-to,83.52,Iraippu Nōy,Asthma,hin_Deva,Iraippu Noy. bronchial asthma,100.0
NAMASTE-Siddha,DAA,ICD-11 MMS 2024-01 Biomedicine,CA23,related-to,86.55,Vaḷi,Asthma,hin_Deva,Bronchial asthma classified under Vali,92.67
NAMASTE-Siddha,DAA1.2,ICD-11 MMS 2024-01 Biomedicine,CA23.31,related-to,82.0,Mēl Nōkku Iraippu Nōy,status post asthmaticus,hin_Deva,Mēl Nōkku Iraippu Nōy. status asthmaticus,100.0
NAMASTE-Siddha,DAC,ICD-11 MMS 2024-01 Biomedicine,CA23,related-to,87.5,Aiyam,Asthma,hin_Deva,Aiyam.Bronchial asthma classified under aiyam,98.44
NAMASTE-Siddha,DAC1.1,ICD-11 MMS 2024-01 Biomedicine,CA23,related-to,84.82,Aiya Iraippu Nōy,Asthma,hin_Deva,Aiya Iraippu Noy. cardiac asthma,100.0
NAMASTE-Siddha,DB,ICD-11 MMS 2024-01 Biomedicine,MD12,related-to,82.33,Irumal Nōy,Cough,hin_Deva,Irumal Noy. Cough,100.0
NAMASTE-Siddha,DBA,ICD-11 MMS 2024-01 Biomedicine,MD12,related-to,89.91,Vaḷi,Cough,hin_Deva,Vai.Cough classified under Vali,98.26
NAMASTE-Siddha,DBA1.3,ICD-11 MMS 2024-01 Biomedicine,MD12,related-to,84.57,Cuvāca Irumal Nōy,Cough,hin_Deva,Cuvca Irumal Noy. asthmatic cough,97.17
NAMASTE-Siddha,DBB,ICD-11 MMS 2024-01 Biomedicine,MD12,related-to,87.0,Aẕal,Cough,hin_Deva,A chahidwal.Cough classified under azhal,87.76
NAMASTE-Siddha,DBC,ICD-11 MMS 2024-01 Biomedicine,MD12,related-to,89.81,Aiyam,Cough,hin_Deva,Aiyam.Cough classified under aiyam,100.0
NAMASTE-Siddha,DBC1.5,ICD-11 MMS 2024-01 Biomedicine,MD12,related-to,84.48,Cuṭar Irumal Nōy,Cough,hin_Deva,Cuṭar Irumal Nōy.Post puerperal cough,100.0
NAMASTE-Siddha,DD,ICD-11 MMS 2024-01 Biomedicine,CA01,related-to,78.07,Mūkkaṭaippu Nōy,Acute sinusitis,hin_Deva,Makkataippu Noy. Sinusitis,94.82
NAMASTE-Siddha,DDB1.2,ICD-11 MMS 2024-01 Biomedicine,SC91,related-to,75.03,Kuruti Mūkkaṭaippu,Nasal sinusitis disorder (TM1),hin_Deva,Kuruti Mūkkaṭaippu.Sinusitis associated with nasal bleeding,100.0
NAMASTE-Siddha,DDC1.2,ICD-11 MMS 2024-01 Biomedicine,XA8D47,related-to,86.51,Kaẕuttu Mūkkaṭaippu Nōy,Nasal septum,hin_Deva,Ka ̄ hiluttu Mkka ̄ aippu Noy.Sinusitis Associated with Destruction of Nasal Septum,90.1
NAMASTE-Siddha,DDC1.3,ICD-11 MMS 2024-01 Biomedicine,MD11.A,related-to,85.11,Nīr Mūkkaṭaippu Nōy,Sneezing,hin_Deva,Nīr Mūkkaṭaippu Nōy.Rhinorrhoea with sneezing,100.0
NAMASTE-Siddha,DIS,ICD-11 MMS 2024-01 Biomedicine,9C43,related-to,95.0,Disorder,Disorder of visual cortex,hin_Deva,Disorder.Disorder,100.0
NAMASTE-Siddha,EAB1.2,ICD-11 MMS 2024-01 Biomedicine,XK2H,related-to,87.47,Eruvāy Varal Muḷai,External,hin_Deva,Eruvayi Varal Muayi.External piles with dryness,96.54
NAMASTE-Siddha,EAB1.5,ICD-11 MMS 2024-01 Biomedicine,MF93,related-to,85.09,Mēka Muḷai,Glycosuria,hin_Deva,Mēka Muai.Piles associated with glycosuria,97.73
NAMASTE-Siddha,EAC1.2,ICD-11 MMS 2024-01 Biomedicine,XK2H,related-to,88.14,Eruvāy Ciṟu Muḷai,External,hin_Deva,Eruvāy Ciu Muai.External piles with growth in the small,96.83
NAMASTE-Siddha,EAC1.5,ICD-11 MMS 2024-01 Biomedicine,XK2H,related-to,87.7,Cavvu Muḷai,External,hin_Deva,Cavvu Muyi. external piles with skin tag,95.19
NAMASTE-Siddha,EBB1.2,ICD-11 MMS 2024-01 Biomedicine,DA61,related-to,84.83,Ēṟi Kuṉmam,PU - [peptic ulcer],hin_Deva,i mam.Peptic ulcer,86.2
NAMASTE-Siddha,EBB1.3,ICD-11 MMS 2024-01 Biomedicine,MD90.1,related-to,86.23,Vānti Kuṉmam,Vomiting,hin_Deva,Vanti ku mam.Gastric disorder with vomiting,96.72
NAMASTE-Siddha,EEA1.4,ICD-11 MMS 2024-01 Biomedicine,DB60,related-to,85.15,Kīẕ Vāyuk Kaẕiccal,Haemorrhoids,hin_Deva,Kī Ashutosh Vayuk Ka Ashutosh Vichotok Dysentery occuring in haemorrhoids,74.2
NAMASTE-Siddha,EEB1.3,ICD-11 MMS 2024-01 Biomedicine,XT6Z,related-to,87.04,Ericcal Niṇak Kaẕiccal,Persistent,hin_Deva,Erycal Niñak Ka Śaṃyakal.Dysentery presenting persistent wetness around anus,87.41
NAMASTE-Siddha,EEB1.4,ICD-11 MMS 2024-01 Biomedicine,XT0S,related-to,86.24,Cūl Niṇak Kaẕiccal,Pregnancy,hin_Deva,Cūl Niānak Ka Śaṃyakāl.Dysentery occuring in pregnancy,85.95
NAMASTE-Siddha,EI,ICD-11 MMS 2024-01 Biomedicine,MD90.1,related-to,91.43,Vānti,Vomiting,hin_Deva,Vāntī.Vomiting,100.0
NAMASTE-Siddha,EIA,ICD-11 MMS 2024-01 Biomedicine,MD90.1,related-to,88.61,Vaḷi,Vomiting,hin_Deva,वायी.Vomiting classified under vali,94.07
NAMASTE-Siddha,EIA1.1,ICD-11 MMS 2024-01 Biomedicine,MD90.1,related-to,92.41,Vaḷi Vānti,Vomiting,hin_Deva,Vomiting due to derangement of vali,86.58
NAMASTE-Siddha,EIB,ICD-11 MMS 2024-01 Biomedicine,MD90.1,related-to,89.3,Aẕal,Vomiting,hin_Deva,A mahadal.Vomiting classified under Azhal,89.51
NAMASTE-Siddha,EIB1.1,ICD-11 MMS 2024-01 Biomedicine,MD90.1,related-to,84.94,Eru Vānti,Vomiting,hin_Deva,Eru Vanti.Fecal vomiting,100.0
NAMASTE-Siddha,EIB1.2,ICD-11 MMS 2024-01 Biomedicine,MD90.1,related-to,87.32,Aẕal Vānti,Vomiting,hin_Deva,A chhathwal Vanti.Vomiting due to derangement of azhal,88.28
NAMASTE-Siddha,EIB1.3,ICD-11 MMS 2024-01 Biomedicine,MD90.1,related-to,87.6,Kaṇṇēṟu Vānti,Vomiting,hin_Deva,Kaṇēu Vānti. vomiting due to evil eye curse,97.04
NAMASTE-Siddha,EIB1.5,ICD-11 MMS 2024-01 Biomedicine,MD90.1,related-to,88.61,Veṟuppu Vānti,Vomiting,hin_Deva,Veuppu Vāntī.Vomiting due to aversion,98.79
NAMASTE-Siddha,EIB1.6,ICD-11 MMS 2024-01 Biomedicine,MD90.1,related-to,87.32,Puẕu Vānti,Vomiting,hin_Deva,Pu Mahatru Vanti.Vomiting due to helmenthic infections,89.74
NAMASTE-Siddha,EIB1.7,ICD-11 MMS 2024-01 Biomedicine,MD90.0,related-to,88.09,Cūl Vānti,Nausea,hin_Deva,Cūl Vāntī.Nausea gravidarum,100.0
NAMASTE-Siddha,EIC,ICD-11 MMS 2024-01 Biomedicine,MD90.1,related-to,87.77,Aiyam,Vomiting,hin_Deva,Aiyam.Vomiting classified under Aiyam,100.0
NAMASTE-Siddha,EIC1.1,ICD-11 MMS 2024-01 Biomedicine,MD90.1,related-to,87.44,Aiya Vānti,Vomiting,hin_Deva,Aiya Vanti.Vomiting due to derangement of aiyyam,99.09
NAMASTE-Siddha,EID,ICD-11 MMS 2024-01 Biomedicine,MD90.1,related-to,89.21,Mukkuṟṟam,Vomiting,hin_Deva,Mukkuam.Vomiting classified under mukkuttram,98.05
NAMASTE-Siddha,EID1.1,ICD-11 MMS 2024-01 Biomedicine,MD90.1,related-to,87.32,Mukkuṟṟa Vānti,Vomiting,hin_Deva,Mukkua Vānti.Vomiting due to derangement of mukkuttram,96.0
NAMASTE-Siddha,FA,ICD-11 MMS 2024-01 Biomedicine,6D70,related-to,84.57,Caṉṉi Nōy,Delirium,hin_Deva,Ca nhi Ny. Delirium,89.59
NAMASTE-Siddha,FAD,ICD-11 MMS 2024-01 Biomedicine,6D70,related-to,87.55,Mukkuṟṟam,Delirium,hin_Deva,Mukkuħam.Delirium classified under mukkutram,95.45
NAMASTE-Siddha,FAD1.10,ICD-11 MMS 2024-01 Biomedicine,XA07R2,related-to,78.84,Raktaṣṭīvi Caṉṉi,Lower respiratory tract,hin_Deva,Raktaṣṭīvi Cahi.Delirium with bleeding from g.i.t. and respiratory tract,96.29
NAMASTE-Siddha,FAD1.11,ICD-11 MMS 2024-01 Biomedicine,6D70,related-to,88.33,Piralāpa Caṉṉi,Delirium,hin_Deva,Piralpa Ca nhi. Delirium with incoherent speech,94.54
NAMASTE-Siddha,FAD1.12,ICD-11 MMS 2024-01 Biomedicine,6D70,related-to,87.47,Cimmaka Caṉṉi,Delirium,hin_Deva,Cimmaka Ca nui.Delirium with fissures in tongue,91.15
NAMASTE-Siddha,FAD1.2,ICD-11 MMS 2024-01 Biomedicine,6D70,related-to,87.32,Antaka Caṉṉi,Delirium,hin_Deva,Antaka Ca nui.Delirium with dyspepsia leading to fatal,92.46
NAMASTE-Siddha,FAD1.3,ICD-11 MMS 2024-01 Biomedicine,XM0JJ6,related-to,87.61,Ruttāka Caṉṉi,Helium,hin_Deva,Rutta Ca Ca Heli Helium with dehydration,85.09
NAMASTE-Siddha,FAD1.4,ICD-11 MMS 2024-01 Biomedicine,6D70,related-to,86.39,Citta Viprama Caṉṉi,Delirium,hin_Deva,Citta Viprama Ca nhi. delirium with amnesia due to vali azhal,96.47
NAMASTE-Siddha,FAD1.5,ICD-11 MMS 2024-01 Biomedicine,6D70,related-to,87.19,Cītāṅka Caṉṉi,Delirium,hin_Deva,Cītāṇka Ca kā i. delirium due to increased coldness in the body,94.29
NAMASTE-Siddha,FAD1.6,ICD-11 MMS 2024-01 Biomedicine,6D70,related-to,87.52,Tāntarika Caṉṉi,Delirium,hin_Deva,Tantarika Ca ca nhi. delirium with prostration,94.25
NAMASTE-Siddha,FAD1.8,ICD-11 MMS 2024-01 Biomedicine,6D70,related-to,82.92,Karṇika Caṉṉi,Delirium,hin_Deva,Karṇika Ca Ca Ca Ca i Delirium with otitis,92.21
NAMASTE-Siddha,FAD1.9,ICD-11 MMS 2024-01 Biomedicine,6D70,related-to,87.36,Pukṉanēttira Caṉṉi,Delirium,hin_Deva,Puknuanēttira Canui.Delirium with ophthalmic disease,95.65
NAMASTE-Siddha,FBD1.12,ICD-11 MMS 2024-01 Biomedicine,8A60.3,related-to,77.39,Mukkuṟṟa Valippu,Epilepsy due to dementias,hin_Deva,MukkuaValippu.Epilepsy due to mukkuttram,95.73
NAMASTE-Siddha,FBD1.2,ICD-11 MMS 2024-01 Biomedicine,EC90,related-to,87.13,Kutirai Valippu,Pruritus,hin_Deva,Kutirai Valippu.Epilepsy preceded by pruritus,100.0
NAMASTE-Siddha,FBD1.3,ICD-11 MMS 2024-01 Biomedicine,8A60.3,related-to,77.47,Kuraṅkuvalippu,Epilepsy due to dementias,hin_Deva,Kuraŋkuvalippu.Epilepsy due to mukkuttram,98.94
NAMASTE-Siddha,FBD1.7,ICD-11 MMS 2024-01 Biomedicine,8A60.4,related-to,77.95,Kūṉ Valippu,Epilepsy due to other central nervous system infections or infestations,hin_Deva,Kū kū valippu. epilepsy due to skin infections,95.29
NAMASTE-Siddha,GA,ICD-11 MMS 2024-01 Biomedicine,9A22,related-to,78.83,Tāpitam,Orbital inflammation,hin_Deva,Tāpitam.Inflammation,100.0
NAMASTE-Siddha,GAA1.1,ICD-11 MMS 2024-01 Biomedicine,GA07.0,related-to,76.31,Ciṉaippai Tāpitam,Acute oophoritis,hin_Deva,Ci khuaippai Tāpitam.Oophoritis,90.96
NAMASTE-Siddha,GAA1.2,ICD-11 MMS 2024-01 Biomedicine,GA00,related-to,83.4,Akal Tāpitam,Vulvitis,hin_Deva,Akal Tāpitam.Vulvitis,100.0
NAMASTE-Siddha,GAA1.3,ICD-11 MMS 2024-01 Biomedicine,GA02,related-to,84.65,Yōṉi Tāpitam,Vaginitis,hin_Deva,Yōhoi Tapitam.Vaginitis,93.96
NAMASTE-Siddha,GAA1.4,ICD-11 MMS 2024-01 Biomedicine,GA02,related-to,82.58,Yōṉi-Akal Tāpitam,Vaginitis,hin_Deva,Yōhoi-Akal Tāpitam. vulvo vaginitis,95.94
NAMASTE-Siddha,GAA1.5,ICD-11 MMS 2024-01 Biomedicine,GA04,related-to,82.53,Kaẕuntu Tāpitam,Cervicitis,hin_Deva,Ka ̄ chahatun ̣ t ̣ a Tāpitam.Cervicitis,75.03
NAMASTE-Siddha,GB,ICD-11 MMS 2024-01 Biomedicine,GA20.0,related-to,84.04,Cūtaka Taṭai,Amenorrhoea,hin_Deva,Cūtakā Taṭai.Amenorrhoea,100.0
NAMASTE-Siddha,GBA,ICD-11 MMS 2024-01 Biomedicine,GA20.0,related-to,88.39,Vaḷi,Amenorrhoea,hin_Deva,Vai.Amenorrhoea classified under Vali,96.95
NAMASTE-Siddha,GBA1.1,ICD-11 MMS 2024-01 Biomedicine,GA20.0,related-to,86.35,Kukarāṉa Mey Cūtaka Taṭai,Amenorrhoea,hin_Deva,Kukarā mey Cūtakā taṭai. pathological true amenorrhoea,96.64
NAMASTE-Siddha,GDC1.1,ICD-11 MMS 2024-01 Biomedicine,XH1TK5,related-to,80.22,Karuppaitacai Vaṉkaẕalai,"Endometrial sarcoma, NOS",hin_Deva,Karuppaitacai Vaaka Achyuthamalai.Endometrial carcinoma / sarcoma,88.88
NAMASTE-Siddha,GE,ICD-11 MMS 2024-01 Biomedicine,ME05.1,related-to,88.07,Karppa Kirāṇi,Diarrhoea,hin_Deva,Karappa Kirani.Diarrhoea during pregnancy,97.03
NAMASTE-Siddha,GEA,ICD-11 MMS 2024-01 Biomedicine,ME05.1,related-to,92.25,Vaḷi,Diarrhoea,hin_Deva,Diarrhoea during pregnancy classified under vali,93.95
NAMASTE-Siddha,GEA1.1,ICD-11 MMS 2024-01 Biomedicine,ME05.1,related-to,88.07,Karppa Kirāṇi,Diarrhoea,hin_Deva,Karappa Kirani.Diarrhoea during pregnancy,97.03
NAMASTE-Siddha,GFA,ICD-11 MMS 2024-01 Biomedicine,GA20.3,related-to,77.27,Vaḷi,irregular uterine bleeding,hin_Deva,Vali.Uterine bleeding classified under Vali,100.0
NAMASTE-Siddha,GFB1.2,ICD-11 MMS 2024-01 Biomedicine,GA20.3,related-to,77.72,Acātāraṇa Perumpāṭu,irregular uterine bleeding,hin_Deva,Acatraña Perumpāṭu.Dysfunctional uterine bleeding,98.05
NAMASTE-Siddha,GFB1.3,ICD-11 MMS 2024-01 Biomedicine,GA20.3,related-to,79.18,Cātāraṇa Perumpāṭu,irregular uterine bleeding,hin_Deva,Cātraṇa Perumpāṭu.Abnormal uterine bleeding,97.78
NAMASTE-Siddha,GHA1.2,ICD-11 MMS 2024-01 Biomedicine,GA02,related-to,88.78,Vāta Yōṉi,Vaginitis,hin_Deva,Vata Yō ni. vaginitis due to increased vali,95.79
NAMASTE-Siddha,GHA1.3,ICD-11 MMS 2024-01 Biomedicine,XA57Q2,related-to,87.54,Vali Yōṉi,Vaginal wall,hin_Deva,Vali Yō ni.Vaginal pain and thickening of the vaginal wall,93.98
