source_code,source_display,translated_text,back_sim,cand1_code,cand1_label,cand1_score,cand2_code,cand2_label,cand2_score,cand3_code,cand3_label,cand3_score,cand4_code,cand4_label,cand4_score,cand5_code,cand5_label,cand5_score,suggested_relationship,final_score,curator_id,comment
EE-3.7.2,kaPAnubandha-raktArSaH,kaPañubandha-raktArSaH,100.0,XM4C94,Tar,58.09,,,,,,,,,,,,,review,58.09,,
EE-4.10,asAdhya-granthiH,asAdhya-granthiH,100.0,XE4YS,Ant,60.86,,,,,,,,,,,,,review,60.86,,
EE-4.6,raktajagranthiH,raktajagranthiH,100.0,XE4YS,Ant,64.17,,,,,,,,,,,,,review,64.17,,
EE-4.7,asthijagranthiH,asthijagranthiH,100.0,XE4YS,Ant,64.17,,,,,,,,,,,,,review,64.17,,
EE-4.8,mAMsajagranthiH,mamsajagranthiH,100.0,XE4YS,Ant,61.5,,,,,,,,,,,,,review,61.5,,
EE-4.9,vraNajagranthiH,vraNajagranthiH,100.0,XE4YS,Ant,64.17,,,,,,,,,,,,,review,64.17,,
EF-2.6,apatarpaNajanyapramehaH,ApatarpaNajanyapramehaH,100.0,XM4C94,Tar,60.56,,,,,,,,,,,,,review,60.56,,
EF-4,pramehetara-piDakA,primehetara-piDakA,92.77,XM4C94,Tar,62.72,,,,,,,,,,,,,review,62.72,,
EI-2.5,paittikaklaibyam,hrantikaklaibyam,80.45,XE4YS,Ant,66.14,,,,,,,,,,,,,review,66.14,,
EI-4.1,avamanthaH,avamanthaH,100.0,XE4YS,Ant,72.45,,,,,,,,,,,,,related-to,72.45,,
EI-4.15,SoNitArbudaH,SoNitArbudaH,100.0,XM4C94,Tar,69.5,,,,,,,,,,,,,review,69.5,,
EL-2.25 (SM94),ShaNDhI/khaNDitA,ShaNDhI / KhaNDitA,100.0,XA5R12,Hand,69.5,,,,,,,,,,,,,review,69.5,,
EL-2.27.2,paittika-yonikandaH,ह्रांतिका-योनिकांडाह,84.43,XE4YS,Ant,62.44,,,,,,,,,,,,,review,62.44,,
EL-2.8 (SM94),antarmukhI,antarmukhi,100.0,XE4YS,Ant,73.39,XM4C94,Tar,69.76,,,,,,,,,,related-to,73.39,,
EM-3.6,Agantuja-apasmAraH,Agantuja-apasmAraH,100.0,XE4YS,Ant,65.5,,,,,,,,,,,,,review,65.5,,
EM-6.6.4,caturtha-madyajamadaH,cathurtha-madyajamadaH,97.48,XE4V0,Cat,64.87,,,,,,,,,,,,,review,64.87,,
F-7 (SK00),anantavAtaH,anantavAtAH,100.0,XE4YS,Ant,71.62,,,,,,,,,,,,,related-to,71.62,,
GA-9,khaNDauShThaH,khaNDauShThaH,100.0,XA5R12,Hand,72.36,,,,,,,,,,,,,related-to,72.36,,
GB,dantamUlagatarogaH,DantamulagatarogaH,100.0,XE4YS,Ant,64.94,XM4C94,Tar,59.02,,,,,,,,,,review,64.94,,
GB-12 (SM1E),dantanADI,dantanADI,100.0,XE4YS,Ant,73.56,,,,,,,,,,,,,related-to,73.56,,
GB-12.1,vAtajadantanADI,vAtajadantanADI,100.0,XE4YS,Ant,64.17,,,,,,,,,,,,,review,64.17,,
GB-12.2,pittajadantanADI,pittajadantanADI,100.0,XE4YS,Ant,60.16,,,,,,,,,,,,,review,60.16,,
GB-12.3,kaPajadantanADI,kaPajadanTanADI,100.0,XE4YS,Ant,61.5,,,,,,,,,,,,,review,61.5,,
GB-12.4,sAnnipAtika-dantanADI,sAnnipAtika-dantanADI,100.0,XE4YS,Ant,63.54,,,,,,,,,,,,,review,63.54,,
GB-12.5,Salyanimittaja-dantanADI,Salyanamittaja-dantanADI,95.29,XE4YS,Ant,62.44,,,,,,,,,,,,,review,62.44,,
GB-2 (SM1Y),dantapuppuTaH,DantapuppuTaH,100.0,XE4YS,Ant,68.5,,,,,,,,,,,,,review,68.5,,
GB-9 (SM1Y),vardhanaH/adhidantaH,WardhanaH / वादिदान्ताह,89.56,XE4YS,Ant,60.27,,,,,,,,,,,,,review,60.27,,
GC,dantagatarogaH,DantagarogaH,92.61,XM8K92,Agar,71.89,XE4YS,Ant,69.5,,,,,,,,,,related-to,71.89,,
GD,jihvAgatarogaH,jihvAgatarogaH,100.0,XM4C94,Tar,62.22,,,,,,,,,,,,,review,62.22,,
GE,tAlugatarogaH,tAlugatarogaH,100.0,XM4C94,Tar,65.76,,,,,,,,,,,,,review,65.76,,
GE-10 (SP9Y),tAlupAkaH/tAluSothaH,tAlupAkaH / tAluSothaH,100.0,XA1LF4,Talus,67.83,,,,,,,,,,,,,review,67.83,,
GE-7 (SM1Y),mAMsasa~gghAtaH/tAlusaMhatiH,mAMsasa raghghAtaH / tAlusaMhatiH,94.4,XA1LF4,Talus,59.99,,,,,,,,,,,,,review,59.99,,
GF,kaNThagatarogaH,kaNThagatarogaH,100.0,XE4YS,Ant,66.83,XM4C94,Tar,60.83,,,,,,,,,,review,66.83,,
GF-13 (SL0Y),vidArI (kaNThagata),vidArI ( kaNThagata ),100.0,XE4YS,Ant,60.28,,,,,,,,,,,,,review,60.28,,
HA,sandhigatarogaH,SandhigatarogaH,100.0,XM4C94,Tar,61.5,,,,,,,,,,,,,review,61.5,,
HA-6 (SK62 ),kRumigranthiH,KRUMIGRANTHIH,100.0,XE4YS,Ant,53.62,,,,,,,,,,,,,review,53.62,,
HB-6,SuShkArSaH/ lohitArSaH,SuShkArSaH / lohitArSaH,100.0,XM4C94,Tar,61.0,,,,,,,,,,,,,review,61.0,,
HC,pakShmagatarogaH,pakshmagatarogaH,100.0,XM4C94,Tar,60.86,,,,,,,,,,,,,review,60.86,,
HD,SuklagatarogaH,SuklagatarogaH,100.0,XM4C94,Tar,62.22,,,,,,,,,,,,,review,62.22,,
HD-3 (SK6C),lohitArma/kShatArma,lohitArma / kShatArma,100.0,XM4C94,Tar,64.43,,,,,,,,,,,,,review,64.43,,
HF-2,adhimanthaH,adhimanthaH,100.0,XE4YS,Ant,64.99,,,,,,,,,,,,,review,64.99,,
HF-2.1,vAtaja-adhimanthaH,vAtaja-adhimanthaH,100.0,XE4YS,Ant,62.35,,,,,,,,,,,,,review,62.35,,
HF-2.2,pittaja-adhimanthaH,pittaja-adhimanthaH,100.0,XE4YS,Ant,58.52,,,,,,,,,,,,,review,58.52,,
HF-2.3,kaPaja-adhimanthaH,kaPaja-adhimanthaH,100.0,XE4YS,Ant,59.76,,,,,,,,,,,,,review,59.76,,
HF-2.4,raktaja-adhimanthaH,raktaja-adhimanthaH,100.0,XE4YS,Ant,61.86,,,,,,,,,,,,,review,61.86,,
HG,dRuShTigatarogaH,dRuShTigatarogaH,100.0,XM4C94,Tar,63.91,,,,,,,,,,,,,review,63.91,,
HG-1.12,paittika-timiraH,ह्रांतिका-तिमिराह,78.16,XE4YS,Ant,64.43,,,,,,,,,,,,,review,64.43,,
HG-1.5,samantataH sthita-doShaH,samantataH sthita-doShaH,100.0,XE4YS,Ant,62.44,,,,,,,,,,,,,review,62.44,,
HG-5,doShAndhaH,doShAndhaH,100.0,XA5R12,Hand,73.17,,,,,,,,,,,,,related-to,73.17,,
I-2.1,Agantuja-kShavathuH,Agantuja-kShavathuH,100.0,XE4YS,Ant,64.99,,,,,,,,,,,,,review,64.99,,
J-11 (SK8Y),karNa-pratinAhaH,karNa-pratinAhaH,100.0,XM1NS5,Tin,60.86,,,,,,,,,,,,,review,60.86,,
JA-9 (SK8Y),tantrikaH,TantrikaH,100.0,XE4YS,Ant,71.33,,,,,,,,,,,,,related-to,71.33,,
K-2,AgantujavraNaH,AgantujavraNaH,100.0,XE4YS,Ant,68.14,,,,,,,,,,,,,review,68.14,,
LA-3.6,danta-BagnaH,Danta-BagnaH,100.0,XE4YS,Ant,69.5,,,,,,,,,,,,,review,69.5,,
LD-13,vaikalyakaramarmaviddhaH,vaikalyakaramarmaviddhaH. the disorder is characterized by vikalatvam [ defectiveness of body parts ],100.0,VW21,Caring for body parts,71.0,NC52.11,Laceration with foreign body of other parts of wrist or hand,68.06,NC52.10,Laceration without foreign body of other parts of wrist or hand,67.48,ND11.B,Superficial foreign body in other or unspecified parts of foot,65.92,ND72.6,Foreign body in multiple parts of respiratory tract,65.66,related-to,71.0,,
LD-3.4,mAtRukA-marmaviddhaH,mAtRukA-marmaviddhaH. the disorder is characterized by sadyomaraṇam [ sudden death ],89.47,MH12,Sudden infant death syndrome,70.66,MH11,Sudden infant death syndrome,70.66,BC64,Sudden arrhythmic death syndrome,69.9,MH11.0,Sudden infant death syndrome with mention of autopsy,67.5,MH11.1,Sudden infant death syndrome without autopsy,66.92,related-to,70.66,,
MD-1 (SM1Y),dantodgamaH,dantodgamaH,100.0,XE4YS,Ant,70.65,,,,,,,,,,,,,related-to,70.65,,
MD-3,dantaSabdaH,dantaSabdaH,100.0,XE4YS,Ant,70.65,,,,,,,,,,,,,related-to,70.65,,
MD-4,akAladantaH,akAladantaH,100.0,XE4YS,Ant,64.99,,,,,,,,,,,,,review,64.99,,
MD-8 (SK50),tAlukaNTakaH,tAlukaNTakaH,100.0,XE4YS,Ant,67.28,,,,,,,,,,,,,review,67.28,,
NB,AByantara-kRumiH,ABYANTARA-KRUMIH,100.0,XE4YS,Ant,66.68,XM4C94,Tar,63.91,,,,,,,,,,review,66.68,,
O-22 (SM0Y),jAlagardaBaH,jAlagardaBaH,100.0,XM8K92,Agar,71.89,,,,,,,,,,,,,related-to,71.89,,
O-29 (SN5Y),padminIkaNTakaH,padminIkaNTakaH,100.0,XE4YS,Ant,64.17,,,,,,,,,,,,,review,64.17,,
PC-10.7,SRu~ggIviShaH,SRU,75.43,MB23.8,Disruptive behaviour,63.96,,,,,,,,,,,,,review,63.96,,
PE-1.14,ajagarasarpadaShTaH,ajagarasarpadaShTaH,100.0,XM8K92,Agar,65.74,,,,,,,,,,,,,review,65.74,,
PE-1.5,puruShasarpadaShTaH,puruShasarpadaShTaH. the disorder is characterized by ūrdhvaprēkṣaṇam [ upward gaze ],100.0,9C83.11,Upward gaze deviation,73.27,,,,,,,,,,,,,related-to,73.27,,
PE-1.9,sUtikAsarpadaShTaH,sUtikAsarpadaShTaH. the disorder is characterized by kukṣiṣūlaḥ [ pain in abdomen / flanks,93.69,MD81.12,Pain in caecum,72.15,MD81.10,Pain localised to upper abdomen,68.53,,,,,,,,,,related-to,72.15,,
SK81 (J-19),bAdhiryam,bAdhiryam.It is characterized by impaired,75.58,MB21.8,Impaired judgment,70.61,MB21.6,Impaired abstract thinking,69.33,5A40.0,impaired fasting glycaemia,68.62,5A40.1,"Impaired glucose tolerance (IGT) is a metabolic disorder, which is characterised by 2-h postload glucose 140–199 mg/dl (7.8–11.1 mmol/l).",68.21,MB21.7,Impaired executive functioning,45.11,related-to,70.61,,
SP,tarpaNa-apacAraH,tarpaNa-apacAraH,100.0,XM4C94,Tar,67.76,,,,,,,,,,,,,review,67.76,,
VG-3,vyaktagarBaH,vyaktagarBaH,100.0,XM8K92,Agar,71.89,,,,,,,,,,,,,related-to,71.89,,
