source_code,source_display,translated_text,back_sim,cand1_code,cand1_label,cand1_score,cand2_code,cand2_label,cand2_score,cand3_code,cand3_label,cand3_score,cand4_code,cand4_label,cand4_score,cand5_code,cand5_label,cand5_score,suggested_relationship,final_score,curator_id,comment
1063,1062,1062.Backache,100.0,XA2P90,Back,72.36,,,,,,,,,,,,,related-to,72.36,,
1064,1063,1063.Lowbackache,100.0,XA2P90,Back,54.5,,,,,,,,,,,,,review,54.5,,
1084,1083,1083.Green stick fracture,100.0,XE779,Tick,50.16,,,,,,,,,,,,,review,50.16,,
109,108,Headache due to excessive heat,94.3,8A83,Headache due to external application of a cold stimulus,78.48,PC85,Intentional self-harm by exposure to excessive heat,76.56,PH35,Exposure to excessive heat with undetermined intent,76.15,PB15,Unintentional exposure to excessive heat of natural origin,75.77,PE75,Assault by exposure to excessive heat of human origin,75.76,review,62.59,,
110,109,Headache due to excessive cold,94.3,8A83,Headache due to external application of a cold stimulus,83.45,PC86,Intentional self-harm by exposure to excessive cold,76.82,PH36,"Exposure to excessive cold of natural origin, undetermined intent",76.38,PE76,Assault by exposure to excessive cold of human origin,76.04,XE4AY,Exposure to excessive cold,75.97,review,61.75,,
1113,1112,1112. surgery,100.0,BE1B,Lymphoedema secondary to surgery or radiotherapy,74.01,,,,,,,,,,,,,related-to,74.01,,
1114,1113,1113.Wounds,100.0,NA0A.0,Complex wounds to the head,74.93,,,,,,,,,,,,,related-to,74.93,,
1117,1116,1116.Penetrating Wounds,100.0,XH81Y1,Deep penetrating naevus,66.87,XM1NS5,Tin,56.93,NA0A.0,Complex wounds to the head,48.77,,,,,,,review,66.87,,
1118,1117,1117.Lacerated Wounds,100.0,NA0A.0,Complex wounds to the head,51.55,,,,,,,,,,,,,review,51.55,,
1124,1123,1123. non-supported wasps,82.87,XE6LT,Wasp,61.06,,,,,,,,,,,,,review,61.06,,
1128,1127,1127.Ulcer,100.0,9A76,fungal ulcer of cornea,73.18,DA61,PU - [peptic ulcer],72.92,DA25,Oesophageal ulcer,72.75,DB33.0,rectal ulcer NEC,72.75,BD74.3,Venous leg ulcer,72.75,related-to,73.18,,
113,112,112. bilious headache,100.0,8A83,NDPH - [New daily-persistent headache],69.22,8A81.2,Chronic tension-type headache associated with pericranial tenderness,67.85,8A84,Secondary headache,59.55,8A81,New daily-persistent headache,57.41,XA20Q1,Head,52.17,review,69.22,,
1130,1129,1129.specific infectious ulcer,100.0,DA60.7,Gastric ulcer due to infectious diseases classified elsewhere,74.11,DA25.1,"Infectious oesophageal ulcer is ulceration or erosion in the mucosa of oesophagus due to the infectious agent, such as bacteria, viruses, fungi and parasites.",73.59,DA63.6,Infectious duodenal ulcer,73.56,,,,,,,related-to,74.11,,
1132,1131,1131.Painful ulcer,100.0,9A76,cornea ulcer,72.3,DA25.1,Infectious oesophageal ulcer,69.59,GA00.3,genital ulcer disease of vulva,66.32,DA60.3,Acute perforated curlings ulcer,66.17,DA63.4,Eosinophilic duodenal ulcer,65.33,related-to,72.3,,
1133,1132,1132.Painless ulcers,97.75,DA01.15,Mouth ulcers,71.84,5A03.21,Painless thyroiditis,56.33,,,,,,,,,,related-to,71.84,,
1134,1133,1133.Benign ulcer,100.0,2F36.0,Benign neoplasm of choroid,68.41,2E90.0,Benign neoplasm of commissure of lip,68.34,2E92.8,Benign neoplasm of pancreas,68.29,1D01.3,Benign recurrent meningitis,68.29,2E80,A benign tumour composed of adipose (fatty) tissue. The most common representative of this category is the lipoma.,68.29,review,68.41,,
1136,1135,1135.Tuberculous ulcer,100.0,1B12.6,tuberculous cervical lymphadenitis,73.82,9A76,cornea ulcer,71.98,BD74.3,Varicose ulcer,70.73,JB63.00,Tuberculous placenta,70.69,DA25,Barrett ulcer,70.08,related-to,73.82,,
1137,1136,1136.Spreading ulcer,100.0,9A76,cornea ulcer,73.95,XH08X7,Superficial spreading melanoma,72.84,XH0JE3,Superficial spreading adenocarcinoma,72.25,DA25,Barrett ulcer,71.46,DA23.2,Barrett ulcer,71.46,related-to,73.95,,
1139,1138,1138.Decubitus ulcer / Bed sore,100.0,SB50,Decubitus disorder (TM1),61.37,,,,,,,,,,,,,review,61.37,,
1139,1138,1138.Decubitus ulcer / Bed sore,100.0,SB50,Decubitus disorder (TM1),61.37,,,,,,,,,,,,,review,61.37,,
1140,1139,1139.Non-infected ulcers,98.13,DA94.01,Chronic non-specific multiple ulcers of small intestine,70.5,,,,,,,,,,,,,related-to,70.5,,
1141,1140,1140.Infected ulcer,100.0,EK70.00,Infected epidermal inclusion cyst,71.06,9A76,cornea ulcer,70.48,DA61,"Peptic ulcer, site unspecified",68.57,DA60.3,Acute perforated curlings ulcer,67.62,DA63.61,Duodenal ulcer due to viral infections,65.14,related-to,71.06,,
1143,1142,1142. putrified ulcer,100.0,9A76,cornea ulcer,71.17,DA25,Barrett ulcer,70.72,DA23.2,Barrett ulcer,70.72,DA60,Gastric ulcer,69.24,DB52,Ulcer of anus,68.6,related-to,71.17,,
1144,1143,1143.Rodent ulcer,100.0,DA62.3,Gastrojejunal peptic ulcer,69.16,DA60.3,acute eroded curlings ulcer,67.87,EA40,Tropical phagedaenic ulcer,67.29,DA25.32,Radiation oesophageal ulcer,66.78,DA61,acute arrested peptic ulcer,66.64,review,69.16,,
1145,1144,1144. ulcer associated with the falling of hair around it,97.12,DA62.1,Helicobacter pylori associated anastomotic ulcer is an ulcer at the anastomosis that is associated with Helicobacter pylori infection. Helicobacter pylori infection is considered as one of the risk factors for anastomotic ulcer.,72.97,DA63.1,"Helicobacter pylori (H. pylori) is a gram-negative bacillus that is found in the mucous layer overlying gastric epithelium, within epithelial cells and attached to mucous cells, leading to inflammation. In the case of duodenal ulcers, H. pylori is believed to infect the gastric antrum or ectopic gastric mucosa in the duodenum. This is associated with increased acid production and duodenal ulceration.",69.14,DA60.1,"Helicobacter pylori (H. pylori) is a gram-negative bacillus that is found in the mucous layer overlying gastric epithelium, within epithelial cells and attached to mucous cells, leading to inflammation. It accounts for the majority of gastric ulcer. H. pylori that involves the acid-producing mucosa of the stomach can lead to hypochlorhydria or achlorhydria, and subsequent gastric ulceration.",64.2,,,,,,,related-to,72.97,,
1146,1145,1145.Oozing ulcer,100.0,DA60.4,Eosinophilic gastric ulcer,66.43,DA25.32,Radiation oesophageal ulcer,66.06,DA25.1,Infectious oesophageal ulcer,65.94,DA60.3,acute eroded curlings ulcer,65.66,9A76,Acanthamoeba ulcer of cornea,65.35,review,66.43,,
1151,1150,1150. by Oedema,96.83,MG29,Oedema,75.5,GB06.4,Chronic penile oedema,69.56,MG29.01,lower extremity oedema,68.73,9B71.02,Diabetic macular oedema,68.61,9A78.21,Secondary corneal oedema,68.51,review,68.3,,
1153,1152,1152.Moist gangrene,100.0,MC85,moist gangrene,94.57,1C16,Gas gangrene,81.54,CA43.0,Lung gangrene,72.94,XM1FR6,Gas-gangrene sera,61.57,XM81Z0,Antitoxin gas gangrene,60.05,review,58.53,,
1155,1154,1154.Dry gangrene,100.0,MC85,dry gangrene,94.68,1C16,Gas gangrene,75.91,CA43.0,Lung gangrene,73.31,XM1FR6,Gas-gangrene sera,63.18,SB74,Gangrene disorder (TM1),62.16,review,62.16,,
1156,1155,1155.Wet gangrene,100.0,MC85,wet gangrene,94.68,1C16,Gas gangrene,74.43,CA43.0,Gangrene or necrosis of lung,72.05,XM1FR6,Gas-gangrene sera,63.18,SB74,Toe gangrene disorder (TM1),61.55,review,61.55,,
1157,1156,1156.Infected gangrene,100.0,MC85,Gangrene,85.05,1C16,Gas gangrene,78.65,CA43.0,Lung gangrene,76.63,EK70.00,Infected epidermal inclusion cyst,68.97,XJ4PE,Infected fracture,62.32,review,55.11,,
1158,1157,1157.Secondary gangrene,100.0,MC85,Gangrene,84.99,1C16,Gas gangrene,79.27,FA25.1,Secondary gout,77.93,1C1D.1,Secondary yaws,77.93,CA43.0,Lung gangrene,77.17,review,56.26,,
1159,1158,1158.Embolic gangrene,100.0,MC85,Gangrene,84.47,1C16,Gas gangrene,78.04,CA43.0,Lung gangrene,76.78,XM1FR6,Gas-gangrene sera,61.81,XM81Z0,Antitoxin gas gangrene,55.34,review,54.59,,
1160,1159,1159. senile gangrene,100.0,MC85,Gangrene,85.33,1C16,Gas gangrene,79.36,CA43.0,Lung gangrene,78.09,9A03.12,Senile entropion of upper eyelid,65.77,9A03.22,Senile ectropion of upper eyelid,65.02,review,56.64,,
1161,1160,1160.Thrombotic gangrene,100.0,MC85,Gangrene,83.28,CA43.0,Lung gangrene,77.44,1C16,Gas gangrene,75.97,3B64.14,TTP - [thrombotic thrombocytopenic purpura],70.24,BD30.11,Acute thrombotic iliac artery occlusion,70.22,review,52.44,,
1162,1161,1161.Diabetic gangrene,100.0,MC85,Gangrene,85.58,1C16,Gas gangrene,78.39,5A23,Diabetic coma,77.3,CA43.0,Lung gangrene,76.19,BD54,Diabetic foot,76.19,review,56.55,,
1163,1162,1162.Traumatic gangrene,100.0,MC85,Gangrene,81.08,CA43.0,Lung gangrene,77.84,XB2G,Post traumatic,77.53,1C16,Gas gangrene,77.15,FA72.2,"Traumatic spondylopathy, cervical region",70.53,review,53.72,,
1167,1166,1166.small pustules,88.11,MF54.2,Small kidney,70.17,DC72,Diverticulum of small intestine,65.33,DA98,Adenomatous polyp of small intestine,65.33,DA91.1,SBO - [small bowel obstruction] strangulated,64.95,DC70,Diverticulitis of small intestine,64.57,related-to,70.17,,
1171,1170,1170.pustular eruption of cheeks,89.6,XA7MK8,Cheek,58.17,,,,,,,,,,,,,review,58.17,,
1172,1171,1171. persistent eruptions,100.0,XT6Z,Persistent,91.5,4B40.0,"This refers to a persistent enlargement (""hyperplasia"") of the thymus.",69.53,LB17.2,Persistent cloaca,69.39,SB0A,Persistent erection disorder (TM1),63.06,XE14D,Tent,62.89,review,63.06,,
1177,1176,1176.Cysts,100.0,EK70,Cutaneous cysts,72.92,KB2K,Pulmonary cysts in newborn,72.9,2F36.4,Cysts of eyelid,71.81,KB01,Periventricular cysts of newborn,71.5,GA18.6,Other or unspecified ovarian cysts,70.26,related-to,72.92,,
1178,1177,1177.nodule,100.0,XH8C13,Endometrial stromal nodule,72.8,,,,,,,,,,,,,related-to,72.8,,
1184,1183,1183. simple inflammation,100.0,9C61.24,glaucoma secondary to eye inflammation,73.67,9A22,Orbital inflammation,73.26,AB93,Chronic inflammation of postmastoidectomy cavity,73.01,GA00.4,Vulvovaginal ulceration and inflammation,72.89,XH88L0,Simple lentigo,72.41,related-to,73.67,,
1186,1185,1185.Sanguineous inflammation,100.0,9A22,Orbital inflammation,71.07,AB93,Chronic inflammation of postmastoidectomy cavity,70.52,9C61.24,Uveal effusion with ocular hypertension due to Inflammation,70.45,9B65.2,Chorioretinal inflammation in infectious and parasitic diseases classified elsewhere,69.84,9A22.2,Granulomatous orbital inflammation,61.26,related-to,71.07,,
1187,1186,1186.A transudative type of swelling.,100.0,9C40.A,Optic disc swelling,71.01,,,,,,,,,,,,,related-to,71.01,,
1188,1187,1187.scirrhous inflammation,100.0,9A22,Orbital inflammation,72.6,AB93,Chronic inflammation of postmastoidectomy cavity,71.61,9C61.24,Uveal effusion with ocular hypertension due to Inflammation,71.38,9B65.2,Chorioretinal inflammation in infectious and parasitic diseases classified elsewhere,71.0,XH4FS4,Scirrhous carcinoma,63.3,related-to,72.6,,
1189,1188,1188.Tumours,100.0,2A00.1,Embryonal tumours of brain,73.1,2A01.1,Mesenchymal tumours of meninges,72.79,2F7A.0,Multiple polyglandular tumours,72.64,9C61.27,Glaucoma due to intraocular tumours,72.44,2E82,Benign chondrogenic tumours,72.43,related-to,73.1,,
119,118,118.Embolic headache,100.0,8A83,Other primary headache disorder,69.96,8A81.2,Chronic tension-type headache associated with pericranial tenderness,68.8,XA20Q1,Head,60.83,8A84,Secondary headache,60.74,8A81,Tension-type headache,58.02,review,69.96,,
1196,1195,1195.Myxoma,100.0,XH48L4,Odontogenic myxoma,74.78,XH3L35,Nerve sheath myxoma,73.69,XH6Q84,"Myxoma, NOS",66.58,,,,,,,related-to,74.78,,
120,119,119.Inflammatory headache,100.0,8A83,Hypnic headache,75.49,GA05.1,chronic female pelvic inflammatory disease,73.92,GA01.1,Chronic inflammatory disease of uterus,73.69,GA05.0,Acute female pelvic inflammatory disease,73.51,GA91,Inflammatory and other diseases of prostate,73.28,review,62.43,,
1202,1201,1201. angioma,100.0,2F25,Campbell de Morgan angioma,73.76,,,,,,,,,,,,,related-to,73.76,,
1209,1208,1208.Herpes,100.0,1F00.02,herpes stomatitis,73.98,1F00.20,herpes meningitis,73.98,XN5V1,Herpes simplex virus-2,73.35,XN41T,Herpes simplex virus-1,73.35,1F00.01,Herpes simplex labialis,73.26,related-to,73.03,,
1209,1208,1208.Herpes,100.0,1F00.02,herpes stomatitis,73.98,1F00.20,herpes meningitis,73.98,XN5V1,Herpes simplex virus-2,73.35,XN41T,Herpes simplex virus-1,73.35,1F00.01,Herpes simplex labialis,73.26,related-to,73.98,,
121,120,120.Throbbing headache,100.0,8A83,Hypnic headache,69.17,8A81.2,Chronic tension-type headache associated with pericranial tenderness,67.31,8A84,Secondary headache,60.93,XA20Q1,Head,59.91,8A81,Tension-type headache,58.58,review,69.17,,
1211,1210,1210.Rodentine herpes,100.0,XA6FX3,Dentin,71.29,1F00.20,meningitis due to herpes simplex virus,66.72,1F00.10,herpes simplex dendritic keratitis,66.28,1F00.02,herpes simplex infection of oral mucosa,66.01,1F00,Any condition caused by an infection with herpes simplex virus (human herpesviruses 1 and 2). Confirmation is by identification of herpes simplex virus type 1 or 2.,65.23,review,65.21,,
1211,1210,1210.Rodentine herpes,100.0,XA6FX3,Dentin,71.29,1F00.20,meningitis due to herpes simplex virus,66.72,1F00.10,herpes simplex dendritic keratitis,66.28,1F00.02,herpes simplex infection of oral mucosa,66.01,1F00,Any condition caused by an infection with herpes simplex virus (human herpesviruses 1 and 2). Confirmation is by identification of herpes simplex virus type 1 or 2.,65.23,related-to,71.29,,
1212,1211,1211.Herpes labialis,100.0,1F00.01,HSV - [herpes simplex virus] labialis,80.79,1F00.10,HSV - [herpes simplex virus] keratitis,65.8,1F00.02,Herpes simplex gingivostomatitis,65.26,1F00.20,Viral meningitis due to Herpes simplex type 1,65.18,SB7A,Herpes zoster around the waist and hypochondrium disorder (TM1),64.49,review,64.49,,
1213,1212,1212.Herpes genitalis,100.0,1F00.02,Herpes simplex gingivostomatitis,69.43,1F00.20,herpes meningitis,68.48,1F00.10,herpes simplex dendritic keratitis,67.84,1F00.01,HSV - [herpes simplex virus] labialis,66.41,SB7A,Herpes zoster around the waist and hypochondrium disorder (TM1),63.99,review,63.99,,
1213,1212,1212.Herpes genitalis,100.0,1F00.02,Herpes simplex gingivostomatitis,69.43,1F00.20,herpes meningitis,68.48,1F00.10,herpes simplex dendritic keratitis,67.84,1F00.01,HSV - [herpes simplex virus] labialis,66.41,SB7A,Herpes zoster around the waist and hypochondrium disorder (TM1),63.99,review,69.43,,
1215,1214,1214.Herpes zoster ophthalmicus,100.0,1E91,Zoster,87.9,SB7A,Herpes zoster around the waist and hypochondrium disorder (TM1),71.44,,,,,,,,,,related-to,71.44,,
1216,1215,1215. vesicular herpes,100.0,1F05.1,Enteroviral vesicular pharyngitis,72.62,1F05.0,Enteroviral vesicular stomatitis,71.36,1F00.10,HSV - [herpes simplex virus] keratitis,66.99,1F00.01,HSV - [herpes simplex virus] labialis,66.09,1F00.20,HSV - [herpes simplex virus] meningitis,65.9,review,63.81,,
1216,1215,1215. vesicular herpes,100.0,1F05.1,Enteroviral vesicular pharyngitis,72.62,1F05.0,Enteroviral vesicular stomatitis,71.36,1F00.10,HSV - [herpes simplex virus] keratitis,66.99,1F00.01,HSV - [herpes simplex virus] labialis,66.09,1F00.20,HSV - [herpes simplex virus] meningitis,65.9,related-to,72.62,,
1217,1216,1216.miliary herpes,97.75,1B13.2,"Acute miliary tuberculosis, unspecified site",68.21,1F00.20,Viral meningitis due to Herpes simplex type 1,66.07,1F00.01,HSV - [herpes simplex virus] labialis,66.05,1F00.10,HSV - [herpes simplex virus] keratitis,65.98,1F00.02,Herpes simplex gingivostomatitis,65.87,review,64.31,,
1217,1216,1216.miliary herpes,97.75,1B13.2,"Acute miliary tuberculosis, unspecified site",68.21,1F00.20,Viral meningitis due to Herpes simplex type 1,66.07,1F00.01,HSV - [herpes simplex virus] labialis,66.05,1F00.10,HSV - [herpes simplex virus] keratitis,65.98,1F00.02,Herpes simplex gingivostomatitis,65.87,review,68.21,,
1221,1220,1220.superimposed blisters,100.0,KC40.0,Congenital sucking blisters,50.8,EJ40.1,Sunburn with blisters or exudation,47.81,,,,,,,,,,review,50.8,,
1224,1223,1223.Eczema,100.0,EA84,Asteatotic eczema,74.93,EA80.2,Adult atopic eczema,74.64,EA80.0,"Infantile atopic eczema, impetiginised",73.45,EA85.20,Atopic eczema of hands,73.35,9A06.70,Atopic eczema of eyelids,73.18,related-to,74.93,,
1227,1226,1226. septicemic plague,97.32,1B93,Plague,81.66,SB40,Septicemic furunculosis disorder (TM1),71.67,1B93.0,Bubonic plague,70.19,1B93.2,plague of lung,69.69,1B93.3,Plague meningitis is a zoonotic disease caused by Yersinia pestis (formerly known as Pasteurella pestis) that involves the central nervous system.,63.47,related-to,71.67,,
1231,1230,1230.Boil,100.0,XM6DL1,Oil,58.0,,,,,,,,,,,,,review,58.0,,
1234,1233,1233.Burn,100.0,NE02,esophageal burn,72.61,NE01,Chemical burn of larynx or trachea,71.36,ND97,Burn of ankle or foot,69.3,ND95,Burn of wrist or hand,69.3,ND92.00,"Burn of breast, epidermal burn",68.87,related-to,72.61,,
1235,1234,1234.Lightening burn,100.0,NE11,burn NOS,69.75,NE01,tracheal burn,66.26,NE02,Burn of mouth,63.36,KC50,"Burn resulting from phototherapy administered to neonate, usually for the treatment of neonatal jaundice.",60.11,ND93,Burn of perineum or genitalia,42.17,review,69.75,,
1236,1235,1235.Sun burn,100.0,NE11,burn NOS,70.53,ND95,Burn of wrist or hand,66.59,NE01,epiglottic chemical burn,66.36,ND97,Burn of ankle or foot,65.52,NE02,Burn of mouth or pharynx,65.44,related-to,70.53,,
1242,1241,1241.Shoe bite,93.71,XJ69A,"Insect bite, nonvenomous",64.63,NA21.4,Open bite of thyroid gland,64.33,NA01.6,Open bite of cheek or temporomandibular area,63.38,1B90,"Rat-bite fever, unspecified",63.22,NA81.4,Open bite of back wall of thorax,62.84,review,64.63,,
1243,1242,1242.Pressure abrasion,100.0,XJ652,Abrasion,84.44,XE94J,No pressure,82.8,EH90,pressure ulcer,75.72,EH90.3,Pressure ulceration grade 4 of toe,71.46,EH90.1,Pressure ulceration grade 2 of toe,71.46,review,53.46,,
1250,1249,1249.Hernia,100.0,DD56,Incisional hernia,73.98,DD57,Parastomal hernia,73.98,DD55,Epigastric hernia,73.98,DD50.0,hiatal hernia NOS,73.98,DD52,Bilateral femoral hernia NOS,73.85,related-to,73.98,,
1251,1250,1250.Complete hernia,100.0,DD50.1,Pelvic hernia,74.74,DD50.0,hiatus hernia,72.35,GC40.34,Complete uterovaginal prolapse,70.36,LD40,Complete trisomies of the autosomes,70.33,BC63.2,Complete atrioventricular block,70.26,related-to,74.74,,
1252,1251,1251.Incomplete hernia,100.0,DD50.1,Pelvic hernia,74.4,DD50.0,hiatus hernia,72.37,DD51,scrotal hernia,72.29,XE4C0,Incomplete or inadequate connection,72.27,GC40.30,"Incomplete uterovaginal prolapse, Stage I",71.86,related-to,74.4,,
1253,1252,1252.Reducible hernia,100.0,DD50.1,Pelvic hernia,73.55,DD50.0,hiatus hernia,72.5,DD52,Femoral hernia,72.08,DD51,scrotal hernia,71.41,DD56,irreducible ventral hernia without gangrene,69.02,related-to,73.55,,
1256,1255,1255.Inflamed hernia,100.0,DD50.0,hiatus hernia,72.64,DD50.1,Pelvic hernia,71.9,LB00.0,Congenital diaphragmatic hernia,67.3,LB13.1,Congenital diaphragmatic hernia,67.3,DD52,unilateral obstructed femoral hernia,66.68,related-to,72.64,,
126,125,125.Alcoholic headache,100.0,XM6U34,Alcohol,72.85,DB92.1,Non-alcoholic steatohepatitis with cirrhosis,71.42,DB94.10,Alcoholic hepatitis with cirrhosis,70.12,DB94.2,alcoholic fibrosis and sclerosis of liver,70.0,8A81.2,Chronic tension-type headache associated with pericranial tenderness,68.67,related-to,72.85,,
1262,1261,1261. epigastric hernia,100.0,DD55,Epigastric hernia,94.27,XA04Q7,Epigastric vein,76.47,DD50.1,Sciatic hernia,76.04,DD50.0,hiatus hernia,73.19,DD51,scrotal hernia,72.29,related-to,72.09,,
1264,1263,1263. abdominal hernia,100.0,DD50.21,Secondary intra-abdominal hernia,81.61,DD50.2,Intra-abdominal hernia,81.32,DD50,Non-abdominal wall hernia,80.7,DD50.20,Primary intra-abdominal hernia with gangrene,80.25,DD56,hernia of anterior abdominal wall with gangrene,80.08,related-to,70.47,,
1267,1266,1266.Poisoning,100.0,8D43.5,Cassava poisoning,74.86,,,,,,,,,,,,,related-to,74.86,,
1271,1270,1270.Tarantula bite,100.0,XM4C94,Tar,64.43,NA81.4,Open bite of back wall of thorax,62.85,NA01.6,Open bite of eyelid or periocular area,62.64,XE4YS,Ant,62.21,XM8095,Tarantula spider venom,62.07,review,64.43,,
1273,1272,1272.millipede byte,95.37,XM4C00,Millipede toxin,71.3,XA8JD4,Lip,62.21,XE11M,"Centipede, millipede",61.34,,,,,,,related-to,71.3,,
1274,1273,1273. salamander bite,100.0,XM7P83,Salamander toxin,73.15,NA01.6,Open bite of cheek or temporomandibular area,61.31,NA81.4,Open bite of back wall of thorax,60.53,NA21.4,Open bite of pharynx or cervical oesophagus,59.19,1B90,Any disease caused by an infection with the gram-negative bacteria Streptobacillus moniliformis or gram-negative bacteria Spirillum minus. This disease presents with symptoms depending on the bacterial agent. Transmission is through the bite of an infected rat or rodent.,46.38,related-to,73.15,,
1275,1274,1274.Beaver bite,94.5,1B90,"Rat-bite fever, unspecified",65.12,NA21.4,Open bite of vocal cord fold,63.02,NA81.4,Open bite of back wall of thorax,61.8,NA01.6,Open bite of eyelid or periocular area,61.51,ND12.64,Open bite of toe,49.71,review,65.12,,
1276,1275,1275.Crocodile bite,100.0,XE4FD,"Crocodile, alligator",63.23,NA01.6,Open bite of cheek or temporomandibular area,62.84,NA81.4,Open bite of back wall of thorax,61.99,NA21.4,Open bite of pharynx or cervical oesophagus,60.86,ND12.64,Open bite of toe,50.29,review,63.23,,
1277,1276,1276.Human bite,100.0,XM32U7,"Calcitonin, human synthetic",66.98,XM9BT4,"Papillomavirus (human types 16,18)",66.88,CA40.13,Pneumonia due to Human metapneumovirus,66.84,XM5CE9,"Papillomavirus (human types 6,11,16,18,31,33,45,52,58)",66.52,XE8FT,"Excrement, human or animal",66.42,review,66.98,,
1278,1277,1277. wolf bite,100.0,NA21.4,Open bite of vocal cord,64.63,NA81.4,Open bite of back wall of thorax,64.21,XJ69A,"Insect bite, nonvenomous",64.15,NA01.6,Open bite of lip or oral cavity,63.96,1B90,"Rat-bite fever, unspecified",62.97,review,64.63,,
1281,1280,1280. insect stings,100.0,XM50Y9,Insect venom,73.38,XN00Z,Insect larva,72.1,4A84.2,Anaphylaxis due to insect venom,67.44,XM1NS5,Tin,62.35,XJ69A,"Insect bite, nonvenomous",50.71,related-to,73.38,,
1284,1283,1283.Cinnabar poisoning,100.0,8D43.5,Cassava poisoning,66.8,,,,,,,,,,,,,review,66.8,,
1285,1284,1284.Litcharge poisoning,98.13,8D43.5,Cassava poisoning,65.76,,,,,,,,,,,,,review,65.76,,
1288,1287,1287.Aconite poisoning,100.0,8D43.5,Cassava poisoning,67.17,,,,,,,,,,,,,review,67.17,,
1294,1293,1293.Datura poisoning,100.0,8D43.5,Cassava poisoning,68.45,XM8VJ2,Datura stramonium plant,55.95,,,,,,,,,,review,68.45,,
1296,1295,1295.Henbane poisoning,100.0,8D43.5,Cassava poisoning,65.11,,,,,,,,,,,,,review,65.11,,
1297,1296,1296.Hemlock poisoning,100.0,8D43.5,Cassava poisoning,66.32,,,,,,,,,,,,,review,66.32,,
1299,1298,1298.Natural Pattern ( s ),100.0,XM6BD0,Natural gas,77.58,XE233,Natural grass,75.59,SE94,Primordial qi collapse pattern (TM1),67.3,XM9S25,Cannabis (natural; phytocannabinoids),66.17,XE4BY,Natural material,63.61,review,67.3,,
130,129,129.Somnial headache,100.0,8A83,NDPH - [New daily-persistent headache],69.97,8A84,Secondary headache,69.53,8A81.2,Chronic tension-type headache associated with pericranial tenderness,69.39,XA20Q1,Head,60.83,8A81,Tension-type headache,60.7,review,69.97,,
1300,1299,1299.Medicatrix naturae,100.0,XE4V0,Cat,62.78,,,,,,,,,,,,,review,62.78,,
1301,1300,1300.Factors of the existence,100.0,XS8B,No psychosocial factors present,51.19,XS7G,Psychosocial factors present,50.32,XM9VN3,Colony stimulating factors,44.78,,,,,,,review,51.19,,
1303,1302,1302.Fire,100.0,XE5T3,Fire,75.5,XM3UK8,Fire ant venom,70.1,XE666,Failure to fire,69.94,XM65N5,Fire coral venom,69.8,SD87,Fire disorder (TM1),69.68,review,69.68,,
