source_code,source_display,translated_text,back_sim,cand1_code,cand1_label,cand1_score,cand2_code,cand2_label,cand2_score,cand3_code,cand3_label,cand3_score,cand4_code,cand4_label,cand4_score,cand5_code,cand5_label,cand5_score,suggested_relationship,final_score,curator_id,comment
BKA1.1,Maruḷ,Maru. wart,95.39,SB75,Wart disorder (TM1),70.14,,,,,,,,,,,,,related-to,70.14,,
BLA,Vaḷi,वाय.Hair loss classified under vali,93.47,ED70,Alopecia or hair loss,71.94,ED70.0,Male pattern hair loss,71.41,ED70.1,Female pattern hair loss,69.75,EH72.00,Telogen hair loss due to drug. Many drugs may occasionally cause telogen hair loss. Commonly implicated drugs include retinoids and anticonvulsants.,63.74,,,,related-to,71.94,,
BS,Perunōy,Perunōy. Skin eruptions,100.0,XA0364,Skin,86.71,ME62.3,Acute maculopapular skin eruption,72.0,EK71.0,Skin tag,71.49,ME66.1,Skin crusting,69.97,XA04T9,Skin of nose,69.59,review,51.8,,
BSA,Vaḷi,Vai.Skin eruptions classified under Vali,96.91,EH94,adherent scar of skin,65.54,,,,,,,,,,,,,review,65.54,,
BSB,Azhal,Azhal.Skin eruptions classified under azhal,100.0,EH94,adherent scar of skin,66.74,,,,,,,,,,,,,review,66.74,,
BSC,Aiyam,Aiyam.Skin eruptions classified under aiyam,90.93,EH94,adherent scar of skin,66.12,,,,,,,,,,,,,review,66.12,,
BTA1.1,Vāta Veṇ Paṭai,Vata Ve ̄ n Pa ̄ i.Leucoderma caused by increased vali,93.91,9C61.2B,Glaucoma caused by increased episcleral venous pressure,62.55,,,,,,,,,,,,,review,62.55,,
BTB1.1,Pitta Veṇ Paṭai,Pitta Ve ̄ n Pa ̄ i.Leucoderma caused by increased azhal,94.07,9C61.2B,Glaucoma caused by increased episcleral venous pressure,62.73,,,,,,,,,,,,,review,62.73,,
BUA1.2,Puẕuveṭṭu,Pu chahtuveṭu.Alopecia,89.89,EC21.2,Hereditary alopecia or hypotrichosis,69.26,ED70.21,Alopecia totalis is a form of alopecia areata in which hair loss extends to the entire scalp,67.05,ED70.2,Alopecia areata,64.52,ED70.5,Scarring alopecia,61.65,EH72.0,Drug-induced alopecia,59.24,review,69.26,,
BUA1.4,Tōḷtaṭippu,Tō ́ tataṭippu. Thickness of the skin,91.39,VV70,Functions of the skin,76.15,EE40.2,"The process whereby healing of damaged skin results in a reduction of dermal thickness as well as scarring, thus the counterpart of hypertrophic scarring.",76.08,EJ20,Photoaging of the skin,75.85,14,Diseases of the skin,75.84,XA04T9,Skin of nose,75.47,review,61.25,,
BUB1.2,Tēmal,Tēmal.Tinea versicolor,100.0,1F2D.0,Tinea versicolor,93.86,1F2D.4,Tinea nigra,72.98,XM1NS5,Tin,63.72,SB72,Tinea circinate disorder (TM1),50.05,,,,review,50.05,,
BUB1.3,Cilviṭa Taṭippu,Cilviṭa Taṭippu. allergy due to insect bite,100.0,EK50.02,Insect bite granuloma,74.16,XJ69A,"Insect bite, nonvenomous",71.85,EK50.01,Bullous insect bite reaction,71.14,EK50.0,Skin reactions to known or presumed insect bites. Commonly the nature of the insect responsible is unknown.,64.59,ND11.3,Nonvenomous insect bite of ankle,55.33,related-to,74.16,,
BUB1.5,Taẕumpu,Taahumpu. Scar,89.14,9A06.3,Traumatic scar of eyelid,68.07,EL50.2,Atrophic surgical scar,66.44,EL50.1,Hypertrophic surgical scar,65.57,GA10.H,Post-cesarean scar endometriosis,65.14,EL50.3,Expanded surgical scar,64.81,review,68.07,,
BUB1.6,Vērkkuru,Vērkkuru.Prickly heat,100.0,NF01.0,Heat stroke,67.09,NF01.1,Heat syncope,66.77,8E01.1,Kuru,64.64,NF01,Dermatoses provoked by heat or electricity,63.4,NF01.3,transient effects of heat fatigue,58.67,review,67.09,,
BUB1.8,Pittaveṭippu,Pittavettippu. Cracks in the soul,94.88,XE38M,Crack,63.0,,,,,,,,,,,,,review,63.0,,
BWB1.1,paṭukkaip Puṇ,paṭukkaip Puṇ. bed sore,100.0,SB50,Bed sore disorder (TM1),53.1,,,,,,,,,,,,,review,53.1,,
BWB1.1,paṭukkaip Puṇ,paṭukkaip Puṇ. bed sore,100.0,SB50,Bed sore disorder (TM1),53.1,,,,,,,,,,,,,review,53.1,,
CAA1.2,Vaḷi Kīḷ Vāyu,Vai Kī Vayu.Rheumatic arthritis,97.18,1B40.0,"Rheumatic arthritis, acute or subacute",72.7,,,,,,,,,,,,,related-to,72.7,,
CAB1.2,Aẕal Vaḷi Kīḷ Vāyu,A chidmal Va i K i V yu Arthritis with dysentery,82.76,1C1G.13,Lyme arthritis,77.96,1F02.1,Rubella arthritis,73.71,FA21,Psoriatic arthritis,72.77,FA20,Rheumatoid arthritis,71.76,FA24.4,"Juvenile systemic arthritis, hand",69.04,review,67.9,,
CAC 1.2,Aiya Vaḷi Kīḷ Vāyu,Aiya Va i K i V yu.Gonococcal arthritis,91.24,1C1G.13,Lyme arthritis,73.1,FA21,Psoriatic arthritis,71.56,1A71,Gonococcal peritonitis,71.46,1A72.4,Gonococcal keratitis,71.19,1A72.3,Gonococcal pharyngitis,71.02,related-to,73.1,,
D,Cuvācanōykaḷ,Cuvacanyka. respiratory disorders,93.51,8A05,Tic disorders,78.32,9A05,Tic disorders,78.32,CB05.41,Respiratory disorders in microscopic polyangiitis,78.29,MD33,Respiratory arrest,78.04,CB41,Respiratory arrest,78.04,related-to,71.57,,
DB,Irumal Nōy,Irumal Noy. Cough,100.0,MD12,Cough,82.33,XM1MJ1,Cough mixture expectorants,67.11,SA70,Cough with dyspnea disorder (TM1),66.61,CA23.22,Cough variant asthma is an occult form of asthma in which the only sign or symptom is chronic cough.,65.96,1C12,Whooping cough,55.15,review,66.61,,
DD,Mūkkaṭaippu Nōy,Makkataippu Noy. Sinusitis,94.82,CA01,Acute sinusitis,78.07,SC91,Nasal sinusitis disorder (TM1),53.66,,,,,,,,,,review,53.66,,
E,Uṇavuppātai Nōykaḷ,Uṇavuppātai Nōyaka.Gastro Intestinal Disorders,97.91,DA90.2,Intestinal Congenital motility disorders due to mitochondrial disease,72.09,,,,,,,,,,,,,related-to,72.09,,
EAA1.6,Viṉai Muḷai,Vi khuai Muai.Piles Associated with Neurological Pain and Belching,92.42,NA23.42,Chronic whiplash injury associated pain,71.09,,,,,,,,,,,,,related-to,71.09,,
EAB1.3,Kuruti Muḷai,Kuruti Muai | Bleeding piles,97.27,8E01.1,Kuru,66.45,,,,,,,,,,,,,review,66.45,,
ED,Mānta Nōy,Manta Noy. Digestive disorder,100.0,MG24.3,Fear of digestive disease,68.24,ME24.0,unspecified abscess of the digestive system,67.03,ME24.4,This is a clinical form of sign indicating stenosis of digestive tract. This category will be used for postcoordination codes as complications of underlying illness.,66.65,ME24.3,This is a clinical form of sign indicating perforation of digestive tract. This category will be used for postcoordination codes as complications of underlying illness.,66.63,ME24.1,This is a clinical form of sign indicating the presence of fistula in the digestive tract. This category will be used for postcoordination codes as complications of underlying illness.,66.62,review,68.24,,
EDA,Vaḷi,Vai.Digestive disorder classified under vali,99.38,ME24.A,"Other digestive system haemorrhage, not elsewhere classified",60.99,,,,,,,,,,,,,review,60.99,,
EDB,Aẕal,Achidwal.Digestive disorder classified under Azhal,92.18,ME24.A,"Other digestive system haemorrhage, not elsewhere classified",57.09,,,,,,,,,,,,,review,57.09,,
EDC,Aiyam,Aiyam.Digestive disorder classified under Aiyam,100.0,ME24.A,"Other digestive system haemorrhage, not elsewhere classified",64.67,,,,,,,,,,,,,review,64.67,,
EEC1.1,Aiya Niṇak Kaẕiccal,Aiya Ni ̄ k Ka ̄ hivyakal.Dysentry caused by increased Aiyam,87.24,9C61.2B,Glaucoma caused by increased episcleral venous pressure,55.19,,,,,,,,,,,,,review,55.19,,
EF,Peruṅ Kaẕiccal,Peru ̃ Ka ́ tahmical.Lose stools,79.64,XE484,Stool,60.92,,,,,,,,,,,,,review,60.92,,
EFA,Vaḷi,वाय.loose stools classified under vali,93.83,XE484,Stool,59.98,,,,,,,,,,,,,review,59.98,,
EFC,Aiyam,Aiyam.Lose stools classified under Aiyam,98.54,XE484,Stool,60.97,,,,,,,,,,,,,review,60.97,,
EG,Ceriyāmai,Ceriyamai.Indication,89.27,XE4V0,Cat,61.41,,,,,,,,,,,,,review,61.41,,
EIB1.4,Kuruti Vānti,Kuruti Vanti.Hemetemesis,100.0,8E01.1,Kuru,67.17,XE4YS,Ant,60.22,,,,,,,,,,review,67.17,,
EJ,Vikkal Nōy,Vikkal Noy. Hiccups,100.0,8A06.21,Chronic hiccups,63.29,,,,,,,,,,,,,review,63.29,,
FBD1.17,Talai Valippu,Talai Valippu.Epilepsy due to udanan affecting brain,100.0,8A60.9,Epilepsy due to cortical dysplasia,72.55,8A60.2,"Epilepsy in relation to a degenerative brain disorder known to be associated with seizures, such as certain neuronal storage disorders (e.g. adult neuronal ceroid lipofuscinosis), and certain mitochondrial disorders.",67.15,8A60.0,Epilepsy due to prenatal or perinatal brain insults,64.35,,,,,,,related-to,72.55,,
GD,Kaẕalai,Ka Mahamalai.Tumour,78.41,XH0FH0,Askin tumour,73.58,XH5L76,Pilar tumour,72.33,XH7LW9,L-cell tumour,71.47,XH8T50,Turban tumour,71.26,XH0FY0,Atypical cartilaginous tumour,68.75,related-to,73.58,,
GF,Perumpāṭu,Perumpāṭu.Menorrhagia,100.0,SB90,Menorrhagia disorder (TM1),65.12,,,,,,,,,,,,,review,65.12,,
GF,Perumpāṭu,Perumpāṭu.Menorrhagia,100.0,SB90,Menorrhagia disorder (TM1),65.12,,,,,,,,,,,,,review,65.12,,
GH,Yōṉi Nōykaḷ,Yōhoi Nyika.Vaginal diseases,89.44,XA1LK7,Vagina,64.28,,,,,,,,,,,,,review,64.28,,
GHA,Vaḷi,Vaginal diseases classified under vali,94.88,6E40.0,Mental disorder affecting disorders or diseases classified elsewhere,74.64,BC20,"Chronic rheumatic heart diseases, not elsewhere classified",73.74,FB52,"This is a group of disorders affecting tissues that connect, support, or surround other structures and organs of the body, not being bone and occur in diseases classified elsewhere.",72.48,FA38,Arthropathy in diseases classified elsewhere,67.33,XA1LK7,Vagina,66.68,related-to,74.64,,
GHB,Aẕal,A chidmal.Vaginal diseases classified under Azhal,91.26,FB52,"This is a group of disorders affecting tissues that connect, support, or surround other structures and organs of the body, not being bone and occur in diseases classified elsewhere.",70.01,FA38,Arthropathy in diseases classified elsewhere,63.43,CB22,"This refers to diseases of the mediastinum where the mediastinum is an undelineated group of structures in the thorax, surrounded by loose connective tissue. It is the central compartment of the thoracic cavity",60.96,6D85,Dementia due to diseases classified elsewhere,59.92,6D72.0,Amnestic disorder due to diseases classified elsewhere,57.56,related-to,70.01,,
GHB1.2,Kuruti Yōṉi,Kuruti Yō noi. vaginal ulcers,93.55,8E01.1,Kuru,65.82,XA1LK7,Vagina,63.57,,,,,,,,,,review,65.82,,
GHB1.6,Civappu Yōṉi,Civappu Yō ni. vaginal herpes,95.12,XA1MK5,Vaginal vein,75.85,XA46V2,Vaginal vault,75.15,XA57Q2,Vaginal wall,74.78,XA47A2,Vaginal artery,72.95,GA34.1,Vaginal laxity,72.95,review,62.63,,
GHC,Aiyam,Aiyam.Vaginal diseases classified under aiyam,100.0,6E40.0,Mental disorder affecting disorders or diseases classified elsewhere,73.79,FB52,"This is a group of disorders affecting tissues that connect, support, or surround other structures and organs of the body, not being bone and occur in diseases classified elsewhere.",71.61,FA38,Arthropathy in diseases classified elsewhere,65.23,CB22,"Diseases of mediastinum, not elsewhere classified",64.8,6D85,Dementia due to diseases classified elsewhere,63.78,related-to,73.79,,
GHC1.2,Kōẕai Yōṉi,Kōhitsurai Yōhi. post-partum lvaginal discharge,88.46,MF3A,Vaginal discharge,74.88,XA1LK7,Vagina,56.79,,,,,,,,,,related-to,74.88,,
HAA,Vaḷi,V.I. Disorders of Nose classified under Vali,97.75,6E40.0,Mental disorder affecting disorders or diseases classified elsewhere,74.32,FB52,"This is a group of disorders affecting tissues that connect, support, or surround other structures and organs of the body, not being bone and occur in diseases classified elsewhere.",74.15,FA37,calcification of: tendon,64.19,,,,,,,related-to,74.32,,
HBA,Vaḷi,VAI.Disorders of ear classified under Vali,96.93,6E40.0,Mental disorder affecting disorders or diseases classified elsewhere,74.83,FB52,"This is a group of disorders affecting tissues that connect, support, or surround other structures and organs of the body, not being bone and occur in diseases classified elsewhere.",74.74,QA0A.5,screening for ear disorder,68.44,QC66,family history of ear disorders,65.75,AB71,Degenerative or vascular disorders of ear,64.62,related-to,74.83,,
HBC1.4,Aiyam,Aiyam.Disorders of ear classified under aaiyam,100.0,FB52,"This is a group of disorders affecting tissues that connect, support, or surround other structures and organs of the body, not being bone and occur in diseases classified elsewhere.",72.61,QC66,family history of ear disorders,66.61,QA0A.5,screening for ear disorder,66.19,FA37,calcification of: tendon,63.38,6E40.0,Mental disorder affecting disorders or diseases classified elsewhere,60.53,related-to,72.61,,
HDB,Aẕal,A chidmal.disorders of Tongue classified under Azhal,91.55,FB52,"This is a group of disorders affecting tissues that connect, support, or surround other structures and organs of the body, not being bone and occur in diseases classified elsewhere.",72.69,FA37,calcification of: tendon,66.37,6E40.0,"All diagnostic requirements for Psychological or behavioural factors affecting disorders or diseases classified elsewhere are met. The individual is diagnosed with a mental, behavioural, or neurodevelopmental disorder that adversely affects the manifestation, treatment, or course of a disorder or disease classified in another chapter (e.g., a woman with Bulimia Nervosa and Type 1 diabetes mellitus who skips insulin doses as a way to avoid weight gain that would otherwise be caused by her binge eating).",59.26,,,,,,,related-to,72.69,,
JBA1.2,Kōṭṭakata Tōṭam,Kōṭṭakata Tōṭam.Tuberculosis affected in liver and kidney,100.0,SF5H,Liver and kidney yin deficiency pattern (TM1),57.91,,,,,,,,,,,,,review,57.91,,
JBA1.2,Kōṭṭakata Tōṭam,Kōṭṭakata Tōṭam.Tuberculosis affected in liver and kidney,100.0,SF5H,Liver and kidney yin deficiency pattern (TM1),57.91,,,,,,,,,,,,,review,57.91,,
JD,Uḷaimāntai,U ́ ́ ai ̄ māntai.Intestinal tuberculosis,93.17,1B12.7,large intestinal tuberculosis,83.29,XA3JR1,Intestinal Wall,79.34,XA55H2,Intestinal vein,79.17,1B14,Latent tuberculosis,79.02,1B12.8,Penile tuberculosis,78.4,review,55.21,,
KAA1.1,Vāta Piramai,Vata Piramai. hallucination caused by increased Vali,100.0,9C61.2B,Glaucoma caused by increased episcleral venous pressure,58.73,,,,,,,,,,,,,review,58.73,,
KAB1.1,Pitta Piramamai,Pitta Piramamai. hallucination caused by increased azhal,100.0,9C61.2B,Glaucoma caused by increased episcleral venous pressure,56.58,,,,,,,,,,,,,review,56.58,,
KAC1.1,Kapa Piramai,Kappa Piramai. hallucination caused by increased Aiyam,99.06,9C61.2B,Glaucoma caused by increased episcleral venous pressure,57.23,,,,,,,,,,,,,review,57.23,,
KC,Kuṭi Veṟi Nōy,Kuṭi Vei Nōy. alcoholism,98.13,XM6U34,Alcohol,65.98,,,,,,,,,,,,,review,65.98,,
KCB,Aẕal,A chidwal.Alcoholism classified under Ajhal,86.45,XM6U34,Alcohol,62.81,,,,,,,,,,,,,review,62.81,,
KCB1.1,Kuṭi Veṟi Nōy,Kuṭi Vei Nōy. alcoholism,98.13,XM6U34,Alcohol,65.98,,,,,,,,,,,,,review,65.98,,
KEB1.1,Aẕal Mayakkanōy,A Mahadal Mayakkanoy. stupor caused by increased azhal,91.35,9C61.2B,Glaucoma caused by increased episcleral venous pressure,55.6,,,,,,,,,,,,,review,55.6,,
KHB1.1,Aẕal Veṟi,A Mahadal Vei | Insanity caused by increased azhal,89.31,9C61.2B,Glaucoma caused by increased episcleral venous pressure,56.52,,,,,,,,,,,,,review,56.52,,
KHC1.1,Aiya Veṟi,Aiya Ve ̃ i ̃ i. Insanity caused by increased Aaiyam,94.78,9C61.2B,Glaucoma caused by increased episcleral venous pressure,58.32,,,,,,,,,,,,,review,58.32,,
KHC1.2,Cōka Veṟi,Coka Vei | Insanity caused by depression,95.32,XE6AF,Press,59.83,,,,,,,,,,,,,review,59.83,,
LA,Kuruti Aẕal Nōy,Kuruti A Mahadal Noy.Purpura,87.25,8E01.1,Kuru,65.82,,,,,,,,,,,,,review,65.82,,
MA,Āṇ Malaṭu,Āṇ Malaṭṭu. Male Infertility,95.52,GA31,Male infertility,90.28,GB04,Male infertility,90.28,XX2UQ8,Male,88.15,GA31.1,Infertility in a woman who has had at least one clinical pregnancy,71.44,SC22,Male Infertility disorder (TM1),70.43,related-to,70.43,,
MAA,Vaḷi,Male infertility classified under Vali,93.82,GB04,Male infertility,93.18,SB0C,Male infertility disorder (TM1),72.63,,,,,,,,,,related-to,72.63,,
MAA1.1,Āṇ Malaṭu,Āṇ Malaṭṭu. Male Infertility,95.52,GA31,Male infertility,90.28,GB04,Male infertility,90.28,XX2UQ8,Male,88.15,GA31.1,Infertility in a woman who has had at least one clinical pregnancy,71.44,SC22,Male Infertility disorder (TM1),70.43,related-to,70.43,,
MCB,Aẕal,A chiral. coital diseases classified under azhal,91.78,FB52,"This is a group of disorders affecting tissues that connect, support, or surround other structures and organs of the body, not being bone and occur in diseases classified elsewhere.",71.11,FA38,Arthropathy in diseases classified elsewhere,64.51,CB22,"This refers to diseases of the mediastinum where the mediastinum is an undelineated group of structures in the thorax, surrounded by loose connective tissue. It is the central compartment of the thoracic cavity",61.88,6D85,Dementia due to diseases classified elsewhere,60.22,6D72.0,Amnestic disorder due to diseases classified elsewhere,59.41,related-to,71.11,,
NAA1.13,Cuṭar Pala Tōṉṟal,Cuṭar Pala Tō,73.89,XM4C94,Tar,68.5,,,,,,,,,,,,,review,68.5,,
NAC1.19,Eẕu Ñāyiṟu,E ̄ hindu ̄ yi ̄ u ̄ | Painful abscess in the eye,85.0,XC87,GCS Eye opening score 1,63.89,,,,,,,,,,,,,review,63.89,,
NAC1.9,Mālaikkaṇ,Malaikka. night blindness,95.3,9D90.6,Blindness,85.22,5B55.0,Vitamin A deficiency with night blindness,78.54,SC70,Night blindness disorder (TM1),72.5,XE2C9,"Night table, end table",56.34,SE36,Night crying disorder (TM1),48.75,related-to,72.5,,
NBA,Vaḷi,Vali.Eye lid diseases classified under Vali,100.0,6E40.0,Mental disorder affecting disorders or diseases classified elsewhere,74.93,FB52,"This is a group of disorders affecting tissues that connect, support, or surround other structures and organs of the body, not being bone and occur in diseases classified elsewhere.",72.63,6D85,Dementia due to diseases classified elsewhere,67.58,CB22,"Diseases of mediastinum, not elsewhere classified",65.75,FA38,Arthropathy in diseases classified elsewhere,65.6,related-to,74.93,,
NBA1.1,Muṭa Mayir,Muṭa Mayir.Trichiasis,97.04,9A04.0,Trichiasis without entropion upper eyelid,72.07,,,,,,,,,,,,,related-to,72.07,,
NBA1.3,Cuṟṟukkulaivu,Cu? ̃ ̃ ukkulaivu.Shrunken of orbits,95.51,XA2WJ9,Orbit,56.65,,,,,,,,,,,,,review,56.65,,
NBA1.4,Imaiyuyarcci,Imaiyuyarcci.Ectropion,100.0,9A03.20,Cicatricial ectropion of upper eyelid,72.31,9A03.21,Mechanical ectropion of upper eyelid,71.29,9A03.23,Spastic ectropion of upper eyelid,69.93,LA14.03,Congenital ectropion,60.63,9A03.2,Ectropion of eyelid,59.57,related-to,72.31,,
NBC,Aiyam,Aiyam.Eye lid diseases classified under aiyam,100.0,6E40.0,Mental disorder affecting disorders or diseases classified elsewhere,74.62,FB52,"This is a group of disorders affecting tissues that connect, support, or surround other structures and organs of the body, not being bone and occur in diseases classified elsewhere.",72.33,FA38,Arthropathy in diseases classified elsewhere,65.83,6D85,Dementia due to diseases classified elsewhere,65.45,CB22,"Diseases of mediastinum, not elsewhere classified",64.79,related-to,74.62,,
NBC1.2,Kuṭaṟ Pillam,Kuṭa Pillam. eye lid disease with infection,98.97,1A72.4,Gonococcal infection of eye,71.31,1F00.1,"A condition of the eye, caused by an infection with herpes simplex virus type 1 or 2. The condition is characterised by blepharoconjunctivitis or keratitis. Transmission is by direct contact. Confirmation is by identification of herpes simplex virus type 1 or 2.",70.53,,,,,,,,,,related-to,71.31,,
NBC1.3,Imai Taṭippu,Imai Taṭippu. blepharitis,100.0,9A01.3,marginal blepharitis,71.71,9A02.1,Posterior blepharitis,66.38,,,,,,,,,,related-to,71.71,,
ND,Karuviẕi Nōykaḷ,Karuvi Mahatomi Nyika | Corneal disease,83.38,XA4C02,Cornea,60.43,,,,,,,,,,,,,review,60.43,,
NDA,Vaḷi,Vali.Corneal disease caused by Vali,100.0,9A78.2,Corneal oedema,75.3,9A76,Corneal ulcer,75.3,9A78.4,corneal arcus,75.3,9A78.9,Corneal abscess,73.92,9A78.0,"Pannus, corneal",73.14,review,51.87,,
NDA1.10,Ceri Vari,Ceri vari. corneal eye disease with itching,96.12,XA4C02,Cornea,61.31,,,,,,,,,,,,,review,61.31,,
NDA1.11,Mālaikkaṇ Timiram,Malaikka Timiram. night blindness,95.97,9D90.6,Blindness,85.01,SC70,Night blindness disorder (TM1),65.14,5B55.0,Vitamin A deficiency with night blindness,62.7,,,,,,,review,65.14,,
NDA1.14,Pukaippū,Pukaippū. corneal eye disease with cloudy vision,100.0,XA4C02,Cornea,59.28,,,,,,,,,,,,,review,59.28,,
